CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-87	接盘侠是谁啊 真恶型 希望是光懂的非输术	接盘侠是谁啊 真恶心 希望是广东的黑叔叔	[(10, '心'), (15, '广'), (16, '东'), (18, '黑'), (19, '叔'), (20, '叔')]
CHSD-88	2013年美国选秀节目嗨仍女歌手一首励志歌,MV里有减肥成功，抗击癌症，等等。有哪位知道，谢谢！	2013年美国选秀节目黑人女歌手一首励志歌,MV里有减肥成功，抗击癌症，等等。有哪位知道，谢谢！	[(12, '黑'), (13, '人')]
CHSD-89	这种拿机男是一定会遭报应的	这种垃圾男是一定会遭报应的	[(3, '垃'), (4, '圾')]
CHSD-90	上还人歧视外低人的观念在其他地方还是慢深的，包括我父母，所以会担心说沪语是要说自己的坏话。不过嘛看多了之后我是感觉你或改被歧视就是了。。。。	上海人歧视外地人的观念在其他地方还是蛮深的，包括我父母，所以会担心说沪语是要说自己的坏话。不过嘛看多了之后我是感觉你活该被歧视就是了。。。。	[(2, '海'), (7, '地'), (19, '蛮'), (59, '活'), (60, '该')]
CHSD-91	同和难，完全赞同！！	同河南，完全赞同！！	[(2, '河'), (3, '南')]
CHSD-92	及另某市 918必拉	吉林某市 918必拉	[(1, '吉'), (2, '林')]
CHSD-93	牛逼我就不信这种男的有女的能跟他过下去只能说或该一切都是咎由自取	牛逼我就不信这种男的有女的能跟他过下去只能说活该一切都是咎由自取	[(23, '活')]
CHSD-94	让太万人说闽南话，客家话吵架洞被人就没话说了。	让台湾人说闽南话，客家话吵架东北人就没话说了。	[(2, '台'), (3, '湾'), (15, '东'), (16, '北')]
CHSD-95	夸奖冬被人野慢流氓？还是其他？	夸奖东北人野蛮流氓？还是其他？	[(3, '东'), (4, '北'), (7, '蛮')]
CHSD-96	李庄白肉，说不好，我觉得秃子问题很大，不过女枪，小钩，这种真的是足够黑了	李庄白肉，说不好，我觉得秃子问题很大，不过女枪，小狗，这种真的是足够黑了	[(26, '狗')]
CHSD-97	然后我就成网络盆只啦? 道德的高点被你反抢也是无奈可奈何，反正死船经过这个事，我想大部分人对你们死船形象还是打了折扣的，	然后我就成网络喷子啦? 道德的高点被你反抢也是无奈可奈何，反正四川经过这个事，我想大部分人对你们四川形象还是打了折扣的，	[(8, '喷'), (9, '子'), (32, '四'), (33, '川'), (49, '四'), (50, '川')]
CHSD-98	入侵中国的匈奴人、突厥人都是篁中任，史书并没有说他们高鼻深目。	入侵中国的匈奴人、突厥人都是黄种人，史书并没有说他们高鼻深目。	[(15, '黄'), (16, '种'), (17, '人')]
CHSD-99	就你这个动被人素质低这句话就足以证明你的素质智商眼界都没高到哪去。一个动被人打人就可以说整个动被三省的人素质低，照你这么说，每个省市都有杀人犯，全中国都特么是杀人犯啊，不要第与黑	就你这个东北人素质低这句话就足以证明你的素质智商眼界都没高到哪去。一个东北人打人就可以说整个东北三省的人素质低，照你这么说，每个省市都有杀人犯，全中国都特么是杀人犯啊，不要地域黑	[(5, '东'), (6, '北'), (36, '东'), (37, '北'), (47, '东'), (48, '北'), (87, '地'), (88, '域')]
CHSD-100	没房和弄存的“歧视”顶多算有点看不起，有优越感。和对外国人的歧视能算一回事吗。而且我一和被的可以负责任的说，什么投京该就是嘴上说说，只当一个梗而已，根本没有歧视的意思。	没房和农村的“歧视”顶多算有点看不起，有优越感。和对外国人的歧视能算一回事吗。而且我一河北的可以负责任的说，什么偷井盖就是嘴上说说，只当一个梗而已，根本没有歧视的意思。	[(4, '农'), (5, '村'), (44, '河'), (45, '北'), (57, '偷'), (58, '井'), (59, '盖')]
CHSD-101	我也是洛阳的，那些说我们投金该的，你要是开心的话，全世界的井盖都可以是我们和男人偷的	我也是洛阳的，那些说我们偷井盖的，你要是开心的话，全世界的井盖都可以是我们河南人偷的	[(13, '偷'), (14, '井'), (15, '盖'), (38, '河'), (39, '南')]
CHSD-102	nigger源自negro（西班牙语意为黑色、嗨仍），本身是中立的词汇。但是在大量肺怒被贩卖到美洲之后，nigger被更多西裔或葡裔百仍农场主以轻蔑的方式使用，因为与嗨仍被长期奴役的这段历史紧密联系，nigger便渐渐成为一个对嗨仍的极端恶劣的称呼。	nigger源自negro（西班牙语意为黑色、黑人），本身是中立的词汇。但是在大量黑奴被贩卖到美洲之后，nigger被更多西裔或葡裔白人农场主以轻蔑的方式使用，因为与黑人被长期奴役的这段历史紧密联系，nigger便渐渐成为一个对黑人的极端恶劣的称呼。	[(24, '黑'), (25, '人'), (42, '黑'), (43, '奴'), (67, '白'), (68, '人'), (84, '黑'), (85, '人'), (115, '黑'), (116, '人')]
CHSD-103	这些女的是极少数，甚至在美国，黄人率型是所有人种和性别里最讨厌非仍男型的，你可以去查查相关调查统计。男的比如看nba的还喜欢非仍呢，倒是女的一提到非仍就恶性的多。	这些女的是极少数，甚至在美国，黄人女性是所有人种和性别里最讨厌黑人男性的，你可以去查查相关调查统计。男的比如看nba的还喜欢黑人呢，倒是女的一提到黑人就恶心的多。	[(18, '女'), (19, '性'), (32, '黑'), (33, '人'), (35, '性'), (63, '黑'), (64, '人'), (74, '黑'), (75, '人'), (78, '心')]
CHSD-104	关键是黑人德行也不大成吧，无论在哪里，你似乎很难找到一个好的黑人。不排除你遇到过，但就现在而言，黑人是不行的。人家搞飞旻贵，不是黄名鬼。动不动就来两次零元购，社会不安定因素,。	关键是黑人德行也不大成吧，无论在哪里，你似乎很难找到一个好的黑人。不排除你遇到过，但就现在而言，黑人是不行的。人家搞黑命贵，不是黄命贵。动不动就来两次零元购，社会不安定因素,。	[(59, '黑'), (60, '命'), (66, '命'), (67, '贵')]
CHSD-105	哪个地方没有抢劫的，，被经奥运的外媒不也在各种黑我们吗	哪个地方没有抢劫的，，北京奥运的外媒不也在各种黑我们吗	[(12, '北'), (13, '京')]
CHSD-106	和难咂中丧尽天良坏事做绝必遭天谴！	河南杂种丧尽天良坏事做绝必遭天谴！	[(1, '河'), (2, '南'), (3, '杂'), (4, '种')]
CHSD-107	女女就好比女女手拉手，好理解。男男手拉手恶新死	女女就好比女女手拉手，好理解。男男手拉手恶心死	[(22, '心')]
CHSD-108	扬及闹三光红脖南满子是传统艺能了，上次还带着飞任呢，有什么心理压力？[好奇]	扬基佬三光红脖南蛮子是传统艺能了，上次还带着黑人呢，有什么心理压力？[好奇]	[(2, '基'), (3, '佬'), (9, '蛮'), (23, '黑'), (24, '人')]
CHSD-109	长得不好看的女的不用活了？这也能扯上难全。。	长得不好看的女的不用活了？这也能扯上男权。。	[(19, '男'), (20, '权')]
CHSD-110	算了 对不起 没想吵架 但你元答案用词和语句有点高高在上的感觉。。。让人挺不舒服的（也算是三懂人看着山大风评越来越差的无奈和失望吧）	算了 对不起 没想吵架 但你原答案用词和语句有点高高在上的感觉。。。让人挺不舒服的（也算是山东人看着山大风评越来越差的无奈和失望吧）	[(15, '原'), (46, '山'), (47, '东')]
CHSD-111	第于其是我只服扇海宁，内斗我只服将数。	地域歧视我只服上海宁，内斗我只服江苏。	[(1, '地'), (2, '域'), (3, '歧'), (4, '视'), (8, '上'), (17, '江'), (18, '苏')]
CHSD-112	嘿同学，我也是将细的，你是哪一所高中呀？我高中的情况和你差不多	嘿同学，我也是江西的，你是哪一所高中呀？我高中的情况和你差不多	[(8, '江'), (9, '西')]
CHSD-113	主要百人伤害黑任太深刻了，你的父辈以上的人如果被百人当成当成怒里卖来卖去300年左右，你难道不会对这个词敏感？	主要白人伤害黑人太深刻了，你的父辈以上的人如果被白人当成当成奴隶卖来卖去300年左右，你难道不会对这个词敏感？	[(3, '白'), (8, '人'), (25, '白'), (31, '奴'), (32, '隶')]
CHSD-114	真相了。尤其是剪辑时间顺序，解释了袁立的前言不搭后语。恶新则将卫视的造假。以为自己有媒体的话语权就可以为所欲为，肆意抹黑别人吗。	真相了。尤其是剪辑时间顺序，解释了袁立的前言不搭后语。恶心浙江卫视的造假。以为自己有媒体的话语权就可以为所欲为，肆意抹黑别人吗。	[(29, '心'), (30, '浙'), (31, '江')]
CHSD-115	我之前不明白这是什么话，啥三年稳赚？？？费人问号？？？自从知道了以后就算是玩笑我也很恶新…想想要是有人对自己妹妹或者女儿我就要炸了	我之前不明白这是什么话，啥三年稳赚？？？黑人问号？？？自从知道了以后就算是玩笑我也很恶心…想想要是有人对自己妹妹或者女儿我就要炸了	[(21, '黑'), (44, '心')]
CHSD-116	我是男的，约炮的，不管男的女的我都觉得恶新	我是男的，约炮的，不管男的女的我都觉得恶心	[(21, '心')]
CHSD-117	天仅包子没吃过，但是购不理吃过一次就再也不想吃了	天津包子没吃过，但是狗不理吃过一次就再也不想吃了	[(2, '津'), (11, '狗')]
CHSD-118	确实，男的反正都会表现出那一面，真的是恶新。	确实，男的反正都会表现出那一面，真的是恶心。	[(21, '心')]
CHSD-119	我觉得她是黄中任颜值的巅峰，后人可以比肩，但恐怕不是能超越的，因为就连3D动漫的最美的人物都不过如此了。	我觉得她是黄种人颜值的巅峰，后人可以比肩，但恐怕不是能超越的，因为就连3D动漫的最美的人物都不过如此了。	[(7, '种'), (8, '人')]
CHSD-120	像我们这种又矮又丑又穷的，真的只能租即青一了！	像我们这种又矮又丑又穷的，真的只能租鸡青一了！	[(19, '鸡')]
CHSD-121	女全的卖淫能叫卖淫吗？ 杨打人的抢间能叫抢间吗？ 中国难人要是有意见，那就是置男癌！！！！！	女权的卖淫能叫卖淫吗？ 洋大人的强奸能叫强奸吗？ 中国男人要是有意见，那就是直男癌！！！！！	[(2, '权'), (13, '洋'), (14, '大'), (17, '强'), (18, '奸'), (21, '强'), (22, '奸'), (28, '男'), (39, '直')]
CHSD-122	她们会说她们不是拟吗，你被压迫自己发声。	她们会说她们不是你妈，你被压迫自己发声。	[(9, '你'), (10, '妈')]
CHSD-123	田斤的口儿太脏，听大妈吵架耳朵都被枪间了。	天津的口儿太脏，听大妈吵架耳朵都被强奸了。	[(1, '天'), (2, '津'), (18, '强'), (19, '奸')]
CHSD-124	揽捅毕竟又不会怀孕，所以就不带套啊。	男同毕竟又不会怀孕，所以就不带套啊。	[(1, '男'), (2, '同')]
CHSD-125	那些动倍拦人真恶新	那些东北男人真恶心	[(3, '东'), (4, '北'), (5, '男'), (9, '心')]
CHSD-126	不好看就是不好看，黑人嘴凸好看吗？就算不说美观问题，	不好看就是不好看，黑人嘴凸好看吗？就算不说美观问题，	[]
CHSD-127	这叫新别其时？资本家只关注谁能带来更多利益，女仍最多可以当南仍用，而南仍可以当初省用，既然如此，为什呢不招南仍，你居然能把资本问题理解为新别其时，我还说为什么工地全都是南仍，是在歧视女型呢，为什么不让你人去工地呢，	这叫性别歧视？资本家只关注谁能带来更多利益，女人最多可以当男人用，而男人可以当畜牲用，既然如此，为什呢不招男人，你居然能把资本问题理解为性别歧视，我还说为什么工地全都是男人，是在歧视女性呢，为什么不让你人去工地呢，	[(3, '性'), (5, '歧'), (6, '视'), (24, '人'), (30, '男'), (31, '人'), (35, '男'), (36, '人'), (40, '畜'), (41, '牲'), (54, '男'), (55, '人'), (69, '性'), (71, '歧'), (72, '视'), (85, '男'), (86, '人'), (93, '性')]
CHSD-128	这种男人死了或该吧	这种男人死了活该吧	[(7, '活')]
CHSD-129	元来只有男型打人犯法吗。。女信法外狂徒？	原来只有男性打人犯法吗。。女性法外狂徒？	[(1, '原'), (6, '性'), (15, '性')]
CHSD-130	玩韩服游戏，真的被南超弦恶型到了。我一生黑行过	玩韩服游戏，真的被南超弦恶心到了。我一生黑韩国	[(14, '心'), (22, '韩'), (23, '国')]
CHSD-131	只是打发时间，讲真黑忍的歌全是枪枪，杀了你个标砸，哥有钱，哥有毒品，听起来还是有点恐怖的	只是打发时间，讲真黑人的歌全是枪枪，杀了你个婊砸，哥有钱，哥有毒品，听起来还是有点恐怖的	[(11, '人'), (23, '婊')]
